,verified genes,dubious genes,uncharacterized genes,ARS,ltr,ncRNA,LTR RetroP,snoRNA,tRNA,rRNA,snRNA,Total Features
4,678,73,60,44,12,,4.0,4.0,28,,,903.0
12,437,49,48,29,24,,1.0,7.0,21,11.0,1.0,628.0
7,463,41,51,28,85,2.0,2.0,6.0,36,,2.0,716.0
16,411,41,48,28,16,1.0,1.0,6.0,17,,,569.0
13,395,31,51,25,14,3.0,,13.0,21,,,553.0
10,320,29,39,24,16,1.0,1.0,5.0,24,,,459.0
2,361,44,34,24,13,2.0,1.0,2.0,13,,1.0,495.0
5,251,51,33,24,31,3.0,2.0,5.0,20,,1.0,421.0
14,344,36,36,20,9,,,5.0,14,,1.0,465.0
3,132,18,22,17,18,,3.0,4.0,10,,,224.0
15,478,53,46,21,25,,2.0,11.0,20,,,656.0
8,235,23,36,15,24,2.0,1.0,2.0,11,,,349.0
9,179,25,28,16,6,2.0,,1.0,10,,,267.0
11,296,22,18,18,12,,2.0,5.0,16,,,389.0
6,98,10,13,14,16,4.0,2.0,,11,,,168.0
1,79,18,15,11,12,1.0,2.0,1.0,4,,,143.0
