Name	gene	Chromosome
YGR294W	PAU12	2
YCL073C	GEX1	3
YCR040W	MATALPHA1	3
YCL064C	CHA1	3
YCL063W	VAC17	3
YCL061C	MRC1	3
YCL059C	KRR1	3
YCL058C	FYV5	3
YCL058W-A	ADF1	3
YCL057C-A	MIC10	3
YCL057W	PRD1	3
YCL056C	PEX34	3
YCL055W	KAR4	3
YCL054W	SPB1	3
YCL052C	PBN1	3
YCL051W	LRE1	3
YCL050C	APA1	3
YCL048W	SPS22	3
YCL047C	POF1	3
YCL045C	EMC1	3
YCL044C	MGR1	3
YCL043C	PDI1	3
YCL040W	GLK1	3
YCL039W	GID7	3
YCL038C	ATG22	3
YCL037C	SRO9	3
YCL036W	GFD2	3
YCL035C	GRX1	3
YCL034W	LSB5	3
YCL033C	MXR2	3
YCL032W	STE50	3
YCL031C	RRP7	3
YCL030C	HIS4	3
YCL029C	BIK1	3
YCL028W	RNQ1	3
YCL027W	FUS1	3
YCL026C-B	HBN1	3
YCL026C-A	FRM2	3
YCL025C	AGP1	3
YCL024W	KCC4	3
YCL018W	LEU2	3
YCL017C	NFS1	3
YCL016C	DCC1	3
YCL014W	BUD3	3
YCL012C		3
YCL011C	GBP2	3
YCL010C	SGF29	3
YCL009C	ILV6	3
YCL008C	STP22	3
YCL005W-A	VMA9	3
YCL005W	LDB16	3
YCL004W	PGS1	3
YCL001W	RER1	3
YCR002C	CDC10	3
YCR003W	MRPL32	3
YCR004C	YCP4	3
YCR005C	CIT2	3
YCR008W	SAT4	3
YCR009C	RVS161	3
YCR010C	ADY2	3
YCR011C	ADP1	3
YCR012W	PGK1	3
YCR014C	POL4	3
YCR015C	CTO1	3
YCR017C	CWH43	3
YCR018C	SRD1	3
YCR019W	MAK32	3
YCR020C	PET18	3
YCR020C-A	MAK31	3
YCR020W-B	HTL1	3
YCR021C	HSP30	3
YCR023C		3
YCR024C	SLM5	3
YCR024C-A	PMP1	3
YCR026C	NPP1	3
YCR027C	RHB1	3
YCR028C	FEN2	3
YCR028C-A	RIM1	3
YCR030C	SYP1	3
YCR031C	RPS14A	3
YCR032W	BPH1	3
YCR033W	SNT1	3
YCR034W	ELO2	3
YCR035C	RRP43	3
YCR036W	RBK1	3
YCR037C	PHO87	3
YCR038C	BUD5	3
YCR097W	HMRA1	3
YCR041W		3
YCR042C	TAF2	3
YCR044C	PER1	3
YCR045C	RRT12	3
YCR046C	IMG1	3
YCR047C	BUD23	3
YCR048W	ARE1	3
YCR052W	RSC6	3
YCR053W	THR4	3
YCR054C	CTR86	3
YCR057C	PWP2	3
YCR059C	YIH1	3
YCR060W	TAH1	3
YCR061W	TVS1	3
YCR063W	BUD31	3
YCR065W	HCM1	3
YCR066W	RAD18	3
YCR067C	SED4	3
YCR068W	ATG15	3
YCR069W	CPR4	3
YCR071C	IMG2	3
YCR072C	RSA4	3
YCR073W-A	SOL2	3
YCR075C	ERS1	3
YCR075W-A	EGO2	3
YCR076C	FUB1	3
YCR077C	PAT1	3
YCR079W	PTC6	3
YCR081W	SRB8	3
YCR082W	AHC2	3
YCR083W	TRX3	3
YCR084C	TUP1	3
YCR086W	CSM1	3
YCR088W	ABP1	3
YCR089W	FIG2	3
YCR091W	KIN82	3
YCR092C	MSH3	3
YCR093W	CDC39	3
YCR094W	CDC50	3
YCR096C	HMRA2	3
YCR097W	HMRA1	3
YCR098C	GIT1	3
YBL107C	MIX23	2
YBL106C	SRO77	2
YBL105C	PKC1	2
YBL104C	SEA4	2
YBL103C	RTG3	2
YBL102W	SFT2	2
YBL101C	ECM21	2
YBL099W	ATP1	2
YBL098W	BNA4	2
YBL097W	BRN1	2
YBL093C	ROX3	2
YBL092W	RPL32	2
YBL091C-A	SCS22	2
YBL091C	MAP2	2
YBL090W	MRP21	2
YBL089W	AVT5	2
YBL088C	TEL1	2
YBL087C	RPL23A	2
YBL085W	BOI1	2
YBL084C	CDC27	2
YBL082C	ALG3	2
YBL080C	PET112	2
YBL079W	NUP170	2
YBL078C	ATG8	2
YBL076C	ILS1	2
YBL075C	SSA3	2
YBL074C	AAR2	2
YBL072C	RPS8A	2
YBL071W-A	KTI11	2
YBL069W	AST1	2
YBL068W	PRS4	2
YBL067C	UBP13	2
YBL066C	SEF1	2
YBL064C	PRX1	2
YBL063W	KIP1	2
YBL061C	SKT5	2
YBL060W	YEL1	2
YBL059C-A	CMC2	2
YBL058W	SHP1	2
YBL057C	PTH2	2
YBL056W	PTC3	2
YBL055C		2
YBL054W	TOD6	2
YBL052C	SAS3	2
YBL051C	PIN4	2
YBL050W	SEC17	2
YBL049W	MOH1	2
YBL047C	EDE1	2
YBL046W	PSY4	2
YBL045C	COR1	2
YBL043W	ECM13	2
YBL042C	FUI1	2
YBL041W	PRE7	2
YBL040C	ERD2	2
YBL039C	URA7	2
YBL038W	MRPL16	2
YBL037W	APL3	2
YBL036C		2
YBL035C	POL12	2
YBL034C	STU1	2
YBL033C	RIB1	2
YBL032W	HEK2	2
YBL031W	SHE1	2
YBL030C	PET9	2
YBL029C-A		2
YBL028C		2
YBL027W	RPL19B	2
YBL026W	LSM2	2
YBL025W	RRN10	2
YBL024W	NCL1	2
YBL023C	MCM2	2
YBL022C	PIM1	2
YBL021C	HAP3	2
YBL020W	RFT1	2
YBL019W	APN2	2
YBL018C	POP8	2
YBL017C	PEP1	2
YBL016W	FUS3	2
YBL015W	ACH1	2
YBL014C	RRN6	2
YBL013W	FMT1	2
YBL011W	SCT1	2
YBL010C	LAA2	2
YBL009W	ALK2	2
YBL008W	HIR1	2
YBL007C	SLA1	2
YBL006C	LDB7	2
YBL005W	PDR3	2
YBL004W	UTP20	2
YBL003C	HTA2	2
YBL002W	HTB2	2
YBL001C	ECM15	2
YBR001C	NTH2	2
YBR002C	RER2	2
YBR003W	COQ1	2
YBR004C	GPI18	2
YBR005W	RCR1	2
YBR006W	UGA2	2
YBR007C	DSF2	2
YBR008C	FLR1	2
YBR009C	HHF1	2
YBR010W	HHT1	2
YBR011C	IPP1	2
YBR014C	GRX7	2
YBR015C	MNN2	2
YBR016W		2
YBR017C	KAP104	2
YBR018C	GAL7	2
YBR019C	GAL10	2
YBR020W	GAL1	2
YBR021W	FUR4	2
YBR022W	POA1	2
YBR023C	CHS3	2
YBR024W	SCO2	2
YBR025C	OLA1	2
YBR026C	ETR1	2
YBR028C	YPK3	2
YBR029C	CDS1	2
YBR030W	RKM3	2
YBR034C	HMT1	2
YBR035C	PDX3	2
YBR036C	CSG2	2
YBR037C	SCO1	2
YBR038W	CHS2	2
YBR039W	ATP3	2
YBR040W	FIG1	2
YBR041W	FAT1	2
YBR042C	CST26	2
YBR043C	QDR3	2
YBR044C	TCM62	2
YBR045C	GIP1	2
YBR046C	ZTA1	2
YBR048W	RPS11B	2
YBR049C	REB1	2
YBR050C	REG2	2
YBR052C	RFS1	2
YBR054W	YRO2	2
YBR055C	PRP6	2
YBR056W	MRX18	2
YBR057C	MUM2	2
YBR058C	UBP14	2
YBR058C-A	TSC3	2
YBR059C	AKL1	2
YBR060C	ORC2	2
YBR061C	TRM7	2
YBR065C	ECM2	2
YBR066C	NRG2	2
YBR067C	TIP1	2
YBR068C	BAP2	2
YBR069C	TAT1	2
YBR070C	ALG14	2
YBR071W		2
YBR072W	HSP26	2
YBR074W	PFF1	2
YBR076W	ECM8	2
YBR077C	SLM4	2
YBR078W	ECM33	2
YBR079C	RPG1	2
YBR080C	SEC18	2
YBR081C	SPT7	2
YBR082C	UBC4	2
YBR083W	TEC1	2
YBR084W	MIS1	2
YBR084C-A	RPL19A	2
YBR085W	AAC3	2
YBR085C-A		2
YBR086C	IST2	2
YBR087W	RFC5	2
YBR088C	POL30	2
YBR089C-A	NHP6B	2
YBR091C	TIM12	2
YBR092C	PHO3	2
YBR093C	PHO5	2
YBR094W	PBY1	2
YBR095C	RXT2	2
YBR097W	VPS15	2
YBR098W	MMS4	2
YBR101C	FES1	2
YBR102C	EXO84	2
YBR103W	SIF2	2
YBR104W	YMC2	2
YBR105C	VID24	2
YBR106W	SND3	2
YBR107C	IML3	2
YBR108W	AIM3	2
YBR109C	CMD1	2
YBR110W	ALG1	2
YBR111C	YSA1	2
YBR111W-A	SUS1	2
YBR112C	CYC8	2
YBR114W	RAD16	2
YBR115C	LYS2	2
YBR117C	TKL2	2
YPR080W	TEF1	2
YBR119W	MUD1	2
YBR120C	CBP6	2
YBR121C	GRS1	2
YBR122C	MRPL36	2
YBR123C	TFC1	2
YBR125C	PTC4	2
YBR126C	TPS1	2
YBR126W-A	MEO1	2
YBR127C	VMA2	2
YBR128C	ATG14	2
YBR129C	OPY1	2
YBR130C	SHE3	2
YBR131W	CCZ1	2
YBR132C	AGP2	2
YBR133C	HSL7	2
YBR135W	CKS1	2
YBR136W	MEC1	2
YBR137W		2
YBR139W	ATG42	2
YBR140C	IRA1	2
YBR141C	BMT2	2
YBR142W	MAK5	2
YBR143C	SUP45	2
YBR145W	ADH5	2
YBR146W	MRPS9	2
YBR147W	RTC2	2
YBR148W	YSW1	2
YBR149W	ARA1	2
YBR150C	TBS1	2
YBR151W	APD1	2
YBR152W	SPP381	2
YBR153W	RIB7	2
YBR154C	RPB5	2
YBR155W	CNS1	2
YBR156C	SLI15	2
YBR157C	ICS2	2
YBR158W	AMN1	2
YBR159W	IFA38	2
YBR160W	CDC28	2
YBR161W	CSH1	2
YBR162C	TOS1	2
YBR162W-A	YSY6	2
YBR163W	EXO5	2
YBR164C	ARL1	2
YBR165W	UBS1	2
YBR166C	TYR1	2
YBR167C	POP7	2
YBR168W	PEX32	2
YBR169C	SSE2	2
YBR170C	NPL4	2
YBR171W	SEC66	2
YBR172C	SMY2	2
YBR173C	UMP1	2
YBR175W	SWD3	2
YBR176W	ECM31	2
YBR177C	EHT1	2
YBR179C	FZO1	2
YBR180W	DTR1	2
YBR181C	RPS6B	2
YBR182C	SMP1	2
YBR183W	YPC1	2
YBR185C	MBA1	2
YBR186W	PCH2	2
YBR187W	GDT1	2
YBR188C	NTC20	2
YBR189W	RPS9B	2
YBR191W	RPL21A	2
YBR192W	RIM2	2
YBR193C	MED8	2
YBR194W	AIM4	2
YBR195C	MSI1	2
YBR196C	PGI1	2
YBR197C		2
YBR198C	TAF5	2
YBR199W	KTR4	2
YBR200W	BEM1	2
YBR201W	DER1	2
YBR202W	MCM7	2
YBR203W	COS111	2
YBR204C	LDH1	2
YBR205W	KTR3	2
YBR207W	FTH1	2
YBR208C	DUR1%2C2	2
YBR210W	ERV15	2
YBR211C	AME1	2
YBR212W	NGR1	2
YBR213W	MET8	2
YBR214W	SDS24	2
YBR215W	HPC2	2
YBR216C	YBP1	2
YBR217W	ATG12	2
YBR218C	PYC2	2
YBR221C	PDB1	2
YBR222C	PCS60	2
YBR223C	TDP1	2
YBR227C	MCX1	2
YBR228W	SLX1	2
YBR229C	ROT2	2
YBR230C	OM14	2
YBR230W-A	COQ21	2
YBR231C	SWC5	2
YBR233W	PBP2	2
YBR233W-A	DAD3	2
YBR234C	ARC40	2
YBR235W	VHC1	2
YBR236C	ABD1	2
YBR237W	PRP5	2
YBR238C		2
YBR239C	ERT1	2
YBR240C	THI2	2
YBR241C	VVS1	2
YBR242W		2
YBR243C	ALG7	2
YBR244W	GPX2	2
YBR245C	ISW1	2
YBR246W	RRT2	2
YBR247C	ENP1	2
YBR248C	HIS7	2
YBR249C	ARO4	2
YBR250W	SPO23	2
YBR251W	MRPS5	2
YBR252W	DUT1	2
YBR253W	SRB6	2
YBR254C	TRS20	2
YBR255W	MTC4	2
YBR256C	RIB5	2
YBR257W	POP4	2
YBR258C	SHG1	2
YBR259W		2
YBR260C	RGD1	2
YBR261C	TAE1	2
YBR262C	MIC12	2
YBR263W	SHM1	2
YBR264C	YPT10	2
YBR265W	TSC10	2
YBR267W	REI1	2
YBR266C	SLM6	2
YBR268W	MRPL37	2
YBR269C	SDH8	2
YBR270C	BIT2	2
YBR271W	EFM2	2
YBR273C	UBX7	2
YBR274W	CHK1	2
YBR275C	RIF1	2
YBR276C	PPS1	2
YBR278W	DPB3	2
YBR279W	PAF1	2
YBR280C	SAF1	2
YBR281C	DUG2	2
YBR282W	MRPL27	2
YBR283C	SSH1	2
YBR286W	APE3	2
YBR288C	APM3	2
YBR289W	SNF5	2
YBR290W	BSD2	2
YBR291C	CTP1	2
YBR293W	VBA2	2
YBR294W	SUL1	2
YBR296C	PHO89	2
YBR296C-A	TYC1	2
YBR297W	MAL33	2
YBR301W	PAU24	2
YGR295C	COS6	2
YJR160C	MPH3	4
YJR159W	SOR1	4
YDL245C	HXT15	4
YFL058W	THI5	4
YDL243C	AAD4	4
YDL240W	LRG1	4
YDL239C	ADY3	4
YDL238C	GUD1	4
YDL237W	AIM6	4
YDL236W	PHO13	4
YDL235C	YPD1	4
YDL234C	GYP7	4
YDL232W	OST4	4
YDL231C	BRE4	4
YDL230W	PTP1	4
YDL229W	SSB1	4
YDL226C	GCS1	4
YDL225W	SHS1	4
YDL224C	WHI4	4
YDL223C	HBT1	4
YDL222C	FMP45	4
YDL220C	CDC13	4
YDL219W	DTD1	4
YDL217C	TIM22	4
YDL216C	RRI1	4
YDL215C	GDH2	4
YDL214C	PRR2	4
YDL213C	NOP6	4
YDL212W	SHR3	4
YDL210W	UGA4	4
YDL209C	CWC2	4
YDL208W	NHP2	4
YDL207W	GLE1	4
YDL205C	HEM3	4
YDL204W	RTN2	4
YDL203C	ACK1	4
YDL202W	MRPL11	4
YDL201W	TRM8	4
YDL200C	MGT1	4
YDL198C	GGC1	4
YDL197C	ASF2	4
YDL195W	SEC31	4
YDL194W	SNF3	4
YDL193W	NUS1	4
YDL192W	ARF1	4
YDL191W	RPL35A	4
YDL190C	UFD2	4
YDL189W	RBS1	4
YDL188C	PPH22	4
YDL185W	VMA1	4
YDL184C	RPL41A	4
YDL183C	MRX19	4
YDL182W	LYS20	4
YDL181W	INH1	4
YDL179W	PCL9	4
YDL178W	DLD2	4
YDL176W	IPF1	4
YDL175C	AIR2	4
YDL174C	DLD1	4
YDL173W	PAR32	4
YDL171C	GLT1	4
YDL170W	UGA3	4
YDL169C	UGX2	4
YDL168W	SFA1	4
YDL167C	NRP1	4
YDL166C	FAP7	4
YDL165W	CDC36	4
YDL164C	CDC9	4
YDL161W	ENT1	4
YDL160C-A	MHF2	4
YDL160C	DHH1	4
YDL159W	STE7	4
YDL156W	CMR1	4
YDL155W	CLB3	4
YDL154W	MSH5	4
YDL153C	SAS10	4
YDL150W	RPC53	4
YDL149W	ATG9	4
YDL148C	NOP14	4
YDL147W	RPN5	4
YDL146W	LDB17	4
YDL145C	COP1	4
YDL144C		4
YDL143W	CCT4	4
YDL142C	CRD1	4
YDL141W	BPL1	4
YDL140C	RPO21	4
YDL139C	SCM3	4
YDL138W	RGT2	4
YDL137W	ARF2	4
YDL136W	RPL35B	4
YDL135C	RDI1	4
YDL134C	PPH21	4
YDL133C-A	RPL41B	4
YDL133W	SRF1	4
YDL132W	CDC53	4
YDL131W	LYS21	4
YDL130W-A	STF1	4
YDL130W	RPP1B	4
YDL129W		4
YDL128W	VCX1	4
YDL127W	PCL2	4
YDL126C	CDC48	4
YDL125C	HNT1	4
YDL124W		4
YDL123W	SNA4	4
YDL122W	UBP1	4
YDL121C	EXP1	4
YDL120W	YFH1	4
YDL119C	HEM25	4
YDL117W	CYK3	4
YDL116W	NUP84	4
YDL115C	IWR1	4
YDL113C	ATG20	4
YDL112W	TRM3	4
YDL111C	RRP42	4
YDL110C	TMA17	4
YDL108W	KIN28	4
YDL107W	MSS2	4
YDL106C	PHO2	4
YDL105W	NSE4	4
YDL104C	QRI7	4
YDL103C	QRI1	4
YDL102W	POL3	4
YDL101C	DUN1	4
YDL100C	GET3	4
YDL099W	BUG1	4
YDL098C	SNU23	4
YDL097C	RPN6	4
YDL095W	PMT1	4
YDL093W	PMT5	4
YDL092W	SRP14	4
YDL091C	UBX3	4
YDL090C	RAM1	4
YDL089W	NUR1	4
YDL088C	ASM4	4
YDL087C	LUC7	4
YDL085W	NDE2	4
YDL084W	SUB2	4
YDL083C	RPS16B	4
YDL082W	RPL13A	4
YDL081C	RPP1A	4
YDL079C	MRK1	4
YDL078C	MDH3	4
YDL077C	VAM6	4
YDL076C	RXT3	4
YDL075W	RPL31A	4
YDL074C	BRE1	4
YDL073W	AHK1	4
YDL072C	YET3	4
YDL070W	BDF2	4
YDL069C	CBS1	4
YDL067C	COX9	4
YDL066W	IDP1	4
YDL065C	PEX19	4
YDL064W	UBC9	4
YDL063C	SYO1	4
YDL061C	RPS29B	4
YDL060W	TSR1	4
YDL059C	RAD59	4
YDL058W	USO1	4
YDL056W	MBP1	4
YDL055C	PSA1	4
YDL054C	MCH1	4
YDL053C	PBP4	4
YDL052C	SLC1	4
YDL051W	LHP1	4
YDL049C	KNH1	4
YDL048C	STP4	4
YDL047W	SIT4	4
YDL046W	NPC2	4
YDL045W-A	MRP10	4
YDL045C	FAD1	4
YDL044C	MTF2	4
YDL043C	PRP11	4
YDL042C	SIR2	4
YDL040C	NAT1	4
YDL036C	PUS9	4
YDL035C	GPR1	4
