	seq_id	start	end	Name	gene	Alias	Note	Ontology_term	strand	phase	curie	orf_classification	display	Chromosome
3257	chrIII	309070	310155	YCR105W	ADH7	"ADH7,ADHVII,NADP-dependent%20alcohol%20dehydrogenase"	NADPH-dependent medium chain alcohol dehydrogenase%3B has broad substrate specificity%3B member of the cinnamyl family of alcohol dehydrogenases%3B may be involved in fusel alcohol synthesis or in aldehyde tolerance	"GO:0005575,GO:0006066,GO:0008106,SO:0000704"	+	.	SGD:S000000702	Verified	NADPH-dependent medium chain alcohol dehydrogenase	3
9420	chrVII	249869	252738	YGL137W	SEC27	"SEC27,coatomer%20subunit%20beta'"	Essential beta'-coat protein of the COPI coatomer%3B involved in ER-to-Golgi and Golgi-to-ER transport%3B contains WD40 domains that mediate cargo selective interactions%3B 45% sequence identity to mammalian beta'-COP	"GO:0006888,GO:0006890,GO:0008298,GO:0030126,GO:0032511,GO:0032511,GO:0043130,SO:0000704"	+	.	SGD:S000003105	Verified	Essential beta'-coat protein of the COPI coatomer	7
9426	chrVII	252897	253859	YGL136C	MRM2	"MRM2,21S%20rRNA%20%28uridine2791-2'-O%29%20methyltransferase"	Mitochondrial 2' O-ribose methyltransferase%3B required for methylation of U%282791%29 in 21S rRNA%3B MRM2 deletion confers thermosensitive respiration and loss of mitochondrial DNA%3B has similarity to Spb1p and Trm7p%2C and to E. coli FtsJ/RrmJ	"GO:0005739,GO:0008650,GO:0008650,GO:0008650,GO:0031167,GO:0031167,GO:0031167,SO:0000704"	-	.	SGD:S000003104	Verified	Mitochondrial 2' O-ribose methyltransferase	7
9434	chrVII	255663	256964	YGL134W	PCL10	PCL10	Pho85p cyclin%3B recruits%2C activates%2C and targets Pho85p cyclin-dependent protein kinase to its substrate%3B PCL10 has a paralog%2C PCL8%2C that arose from the whole genome duplication	"GO:0000079,GO:0000307,GO:0016538,GO:0045719,GO:0045719,SO:0000704"	+	.	SGD:S000003102	Verified	Pho85p cyclin	7
9438	chrVII	257707	261501	YGL133W	ITC1	ITC1	Subunit of ATP-dependent Isw2p-Itc1p chromatin remodeling complex%3B required for repression of a-specific genes%2C repression of early meiotic genes during mitotic growth%2C and repression of INO1%3B similar to mammalian Acf1p%2C the regulatory subunit of the mammalian ATP-utilizing chromatin assembly and modifying factor %28ACF%29 complex%3B ITC1 has a paralog%2C YPL216W%2C that arose from the whole genome duplication	"GO:0003674,GO:0005634,GO:0006348,GO:0008623,GO:0046020,SO:0000704"	+	.	SGD:S000003101	Verified	Subunit of ATP-dependent Isw2p-Itc1p chromatin remodeling complex	7
17925	chrXII	454696	455070	YLR154W-C	TAR1	"TAR1,YLR154W-A"	Protein potentially involved in regulation of respiratory metabolism%3B located in the mitochondria%3B interacts genetically with RPO41 and physically with Coq5p%3B encoded within the 25S rRNA gene on the opposite strand	"GO:0003674,GO:0005739,GO:0043457,SO:0000704"	+	.	SGD:S000028422	Verified	Protein potentially involved in regulation of respiratory metabolism	12
18000	chrXII	469317	470405	YLR155C	ASP3-1	"ASP3-1,ASP3,asparaginase%20ASP3-1"	Cell-wall L-asparaginase II involved in asparagine catabolism%3B expression induced during nitrogen starvation%3B ORF contains a short non-coding RNA that enhances expression of full-length gene%3B likely arose in via horizontal gene transfer from the wine yeast Wickerhamomyces anomalus or a close relative%3B reference strain S288C has four copies of ASP3%3B ASP3-1 has a paralog%2C ASP3-3%2C that arose from a segmental duplication	"GO:0004067,GO:0005635,GO:0005783,GO:0006530,GO:0006995,GO:0030287,SO:0000704"	-	.	SGD:S000004145	Verified	Cell-wall L-asparaginase II involved in asparagine catabolism	12
18012	chrXII	472969	474057	YLR157C	ASP3-2	"ASP3-2,ASP3,asparaginase%20ASP3-2"	Cell-wall L-asparaginase II involved in asparagine catabolism%3B expression induced during nitrogen starvation%3B ORF contains a short non-coding RNA that enhances expression of full-length gene%3B likely arose in via horizontal gene transfer from the wine yeast Wickerhamomyces anomalus or a close relative%3B reference strain S288C has four copies of ASP3%3B ASP3-2 has a paralog%2C ASP3-4%2C that arose from a segmental duplication	"GO:0004067,GO:0006530,GO:0006995,GO:0030287,SO:0000704"	-	.	SGD:S000004147	Verified	Cell-wall L-asparaginase II involved in asparagine catabolism	12
18038	chrXII	482549	483637	YLR158C	ASP3-3	"ASP3-3,ASP3,asparaginase%20ASP3-3"	Cell-wall L-asparaginase II involved in asparagine catabolism%3B expression induced during nitrogen starvation%3B ORF contains a short non-coding RNA that enhances expression of full-length gene%3B likely arose in via horizontal gene transfer from the wine yeast Wickerhamomyces anomalus or a close relative%3B reference strain S288C has four copies of ASP3%3B ASP3-3 has a paralog%2C ASP3-1%2C that arose from a segmental duplication	"GO:0004067,GO:0006530,GO:0006995,GO:0030287,SO:0000704"	-	.	SGD:S000004148	Verified	Cell-wall L-asparaginase II involved in asparagine catabolism	12
18050	chrXII	486201	487289	YLR160C	ASP3-4	"ASP3-4,ASP3,asparaginase%20ASP3-4"	Cell-wall L-asparaginase II involved in asparagine catabolism%3B expression induced during nitrogen starvation%3B ORF contains a short non-coding RNA that enhances expression of full-length gene%3B likely arose in via horizontal gene transfer from the wine yeast Wickerhamomyces anomalus or a close relative%3B reference strain S288C has four copies of ASP3%3B ASP3-4 has a paralog%2C ASP3-2%2C that arose from a segmental duplication	"GO:0004067,GO:0006530,GO:0006995,GO:0030287,GO:0071944,SO:0000704"	-	.	SGD:S000004150	Verified	Cell-wall L-asparaginase II involved in asparagine catabolism	12
