The contig names have been altered to include the S288C chromosome name from the mummer alignment.

contig, size(bp)
chrIV_tig00000001,1482091
chrVII_tig00004928,808641
chrII_tig00000010,790641
chrXV_tig00000007,787733
chrXIV_tig00004929,731293
chrX_tig00001098,721726
chrXVI_tig00000013,719908
chrXI_tig00004932,669333
chrV_tig00000015,567805
chrXII_tig00000020,558243
chrVIII_tig00000017,534968
chrXIII_tig00000018,468731
chrXII-2_tig00004934,447601
chrXIII-2_tig00000029,446593
chrIX_tig00000023,430085
chrIII_tig00004936,312008
chrVI_tig00004938,299359
chrXV-2_tig00000035,274288
chrMANY_tig00000038,262414
chrI_tig00000033,239671
chrXVI-2_tig00000040,198556
chrMito_tig00000037,106172
chrXI-2_tig00004931,29719
chrXII-3_tig00004933,25227
chrX-2_tig00001099,19860
chrII-2_tig00004927,18994
chrMANY_tig00004939,13642
chrVI-2_tig00004937,13593
chrIII-2_tig00004935,12580
chrXIV-2_tig00004930,12491
chrXV-3_tig00000066,8310
NONE_tig00004941,3610
NONE_tig00004940,3582
chrXV-4_tig00001046,1061
