chromosome	Start	End	contig	Notes genes/number genes
1	177542	183707	tig00000033	YDRWTy2-3
1	1411	7774	chrI_tig00000033	2
2	185087	191046	chrII_tig00000010 reverse_complement	2
3	136337	142463	tig00004936	YBLWTy2-1
3	423	4934	tig00004935	YCLWTy5-1
3	790	4554	tig00004936	YCLWTy5-1
4	1297677	1303630	tig00000001	YNLCTy2-1
4	1303305	1309617	tig00000001	YPLWTy1-1
4	383440	384902	chrIV_tig00000001	2
4	949136	950839	chrIV_tig00000001	1
5	543496	548928	tig00000015	YILWTy3-1
5	437439	443396	chrV_tig00000015	2
6	119186	124615	chrVI_tig00004938 reverse_complement	2
6	199272	205232	chrVI_tig00004938 reverse_complement	2
7	106301	112481	tig00000038	YERCTy1-1
7	212802	219077	tig00000038	YHLWTy4-1
8	376739	382705	tig00000017	YORCTy2-1
10	406678	412639	chrX_tig00001098 reverse_complement	2
11	24798	29311	tig00004931	YCLWTy5-1
11	664456	668970	tig00004932	YCLWTy5-1
12	414716	420627	tig00004934	YBLWTy1-1
15	112119	118082	tig00000007	YGRCTy2-1
15	228916	235127	tig00000007	YLRWTy1-2
16	54637	60826	tig00000040	YCLWTy2-1
