	NAME	logFC.dis4	logFC.dis12	logFC.dis14	logFC.dis15
EWEIGHT		1.0	1.0	1.0	1.0
YPR160W	YPR160W GPH1 Glycogen phosphorylase required for the mobilization of glycogen; non-essential; regulated by cyclic AMP-mediated phosphorylation; phosphorylation by Cdc28p may coordinately regulate carbohydrate metabolism and the cell cycle; expression is regulated by stress-response elements and by the HOG MAP kinase pathway	0.766188395926208	-0.154581363295099	-0.0267552072667088	4.81244318316907
YJR109C	YJR109C CPA2 Large subunit of carbamoyl phosphate synthetase; carbamoyl phosphate synthetase catalyzes a step in the synthesis of citrulline, an arginine precursor	0.792307575751411	0.572079830058889	4.07089446517749	-0.255992324775537
YNL160W	YNL160W YGP1 Cell wall-related secretory glycoprotein; induced by nutrient deprivation-associated growth arrest and upon entry into stationary phase; may be involved in adaptation prior to stationary phase entry; YGP1 has a paralog, SPS100, that arose from the whole genome duplication	-0.789686989106788	-1.08493219148318	0.454215718824566	3.33148710222486
YML100W	YML100W TSL1 Large subunit of trehalose 6-phosphate synthase/phosphatase complex; Tps1p-Tps2p complex converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose; contributes to survival to acute lethal heat stress; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress; TSL1 has a paralog, TPS3, that arose from the whole genome duplication	-0.141120122390194	-0.316697222086589	0.260357854805002	4.70397252800996
YHR018C	YHR018C ARG4 Argininosuccinate lyase; catalyzes the final step in the arginine biosynthesis pathway	0.651898523835347	0.782374967443195	4.15739075010635	1.60436411680902
YMR189W	YMR189W GCV2 P subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm	-0.0759548142360418	0.241606371288446	1.76098923038831	3.4801691458938
YDR343C	YDR343C HXT6 High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication	-0.914642133271574	-1.33238476901521	1.62414134754307	3.11750110395425
YNR044W	YNR044W AGA1 Anchorage subunit of a-agglutinin of a-cells; highly O-glycosylated protein with N-terminal secretion signal and C-terminal signal for addition of GPI anchor to cell wall, linked to adhesion subunit Aga2p via two disulfide bonds; AGA1 has a paralog, FIG2, that arose from the whole genome duplication	-0.321282266480859	-0.634073164865518	0.559465090844624	4.86450933100747
YOR374W	YOR374W ALD4 Mitochondrial aldehyde dehydrogenase; required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed; can substitute for cytosolic NADP-dependent aldehyde dehydrogenase when directed to the cytosol; human homolog ALDH2 can complement yeast ald4 mutant	0.0370733700163755	-0.81469894224024	1.59976754007461	4.01232144839169
YCL040W	YCL040W GLK1 Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication	-0.867008330523538	-1.04907354997456	0.10474729347067	3.16120026655861
