	seq_id	start	end	Name	gene	Alias	Note	Ontology_term	strand	phase	curie	orf_classification	display	Chromosome	
459	chrI	201467	201787	YAR047C			Dubious open reading frame%3B unlikely to encode a functional protein%2C based on available experimental and comparative sequence data	"GO:0003674,GO:0005575,GO:0008150,SO:0000704"	-	.	SGD:S000000083	Dubious	Dubious open reading frame	1	No hits
3257	chrIII	309070	310155	YCR105W	ADH7	"ADH7,ADHVII,NADP-dependent%20alcohol%20dehydrogenase"	NADPH-dependent medium chain alcohol dehydrogenase%3B has broad substrate specificity%3B member of the cinnamyl family of alcohol dehydrogenases%3B may be involved in fusel alcohol synthesis or in aldehyde tolerance	"GO:0005575,GO:0006066,GO:0008106,SO:0000704"	+	.	SGD:S000000702	Verified	NADPH-dependent medium chain alcohol dehydrogenase	3	No hits
4509	chrIV	520516	520692	YDR034C-A			Putative protein of unknown function%3B contained within the solo Ty1 LTR element YDRWdelta7	"GO:0003674,GO:0005575,GO:0008150,SO:0000704"	-	.	SGD:S000007233	Uncharacterized	Putative protein of unknown function	4	Hits
7947	chrV	449474	449578	YER138W-A			Putative protein of unknown function%3B YER138W-A has a paralog%2C YBL107W-A%2C that arose from a single-locus duplication	"GO:0003674,GO:0005575,GO:0008150,SO:0000704"	+	.	SGD:S000007239	Uncharacterized	Putative protein of unknown function	5	Hits
8862	chrVI	269061	269516	YFR057W			Putative protein of unknown function	"GO:0003674,GO:0005575,GO:0008150,SO:0000704"	+	.	SGD:S000001953	Uncharacterized	Putative protein of unknown function	6	No hits
9420	chrVII	249869	252738	YGL137W	SEC27	"SEC27,coatomer%20subunit%20beta'"	Essential beta'-coat protein of the COPI coatomer%3B involved in ER-to-Golgi and Golgi-to-ER transport%3B contains WD40 domains that mediate cargo selective interactions%3B 45% sequence identity to mammalian beta'-COP	"GO:0006888,GO:0006890,GO:0008298,GO:0030126,GO:0032511,GO:0032511,GO:0043130,SO:0000704"	+	.	SGD:S000003105	Verified	Essential beta'-coat protein of the COPI coatomer	7	No hits
9426	chrVII	252897	253859	YGL136C	MRM2	"MRM2,21S%20rRNA%20%28uridine2791-2'-O%29%20methyltransferase"	Mitochondrial 2' O-ribose methyltransferase%3B required for methylation of U%282791%29 in 21S rRNA%3B MRM2 deletion confers thermosensitive respiration and loss of mitochondrial DNA%3B has similarity to Spb1p and Trm7p%2C and to E. coli FtsJ/RrmJ	"GO:0005739,GO:0008650,GO:0008650,GO:0008650,GO:0031167,GO:0031167,GO:0031167,SO:0000704"	-	.	SGD:S000003104	Verified	Mitochondrial 2' O-ribose methyltransferase	7	No hits
9434	chrVII	255663	256964	YGL134W	PCL10	PCL10	Pho85p cyclin%3B recruits%2C activates%2C and targets Pho85p cyclin-dependent protein kinase to its substrate%3B PCL10 has a paralog%2C PCL8%2C that arose from the whole genome duplication	"GO:0000079,GO:0000307,GO:0016538,GO:0045719,GO:0045719,SO:0000704"	+	.	SGD:S000003102	Verified	Pho85p cyclin	7	No hits
9438	chrVII	257707	261501	YGL133W	ITC1	ITC1	Subunit of ATP-dependent Isw2p-Itc1p chromatin remodeling complex%3B required for repression of a-specific genes%2C repression of early meiotic genes during mitotic growth%2C and repression of INO1%3B similar to mammalian Acf1p%2C the regulatory subunit of the mammalian ATP-utilizing chromatin assembly and modifying factor %28ACF%29 complex%3B ITC1 has a paralog%2C YPL216W%2C that arose from the whole genome duplication	"GO:0003674,GO:0005634,GO:0006348,GO:0008623,GO:0046020,SO:0000704"	+	.	SGD:S000003101	Verified	Subunit of ATP-dependent Isw2p-Itc1p chromatin remodeling complex	7	No hits
9441	chrVII	261580	261915	YGL132W			Dubious open reading frame%3B unlikely to encode a functional protein%2C based on available experimental and comparative sequence data%3B overlaps the verified gene SNT2/YGL131C	"GO:0003674,GO:0005575,GO:0008150,SO:0000704"	+	.	SGD:S000003100	Dubious	Dubious open reading frame	7	No hits
