Name	gene	Chromosome	orf_classification
YGR293C		2	Dubious
YGR294W	PAU12	2	Verified
YCL076W		3	Dubious
YCL073C	GEX1	3	Verified
YKR106W	GEX2	3	Verified
YKR105C	VBA5	3	Verified
YCR038W-A		3	Dubious
YCL066W	HMLALPHA1	3	Verified
YCR040W	MATALPHA1	3	Verified
YCL064C	CHA1	3	Verified
YCL063W	VAC17	3	Verified
YCL061C	MRC1	3	Verified
YCL059C	KRR1	3	Verified
YCL058C	FYV5	3	Verified
YCL058W-A	ADF1	3	Verified
YCL057C-A	MIC10	3	Verified
YCL057W	PRD1	3	Verified
YCL056C	PEX34	3	Verified
YCL055W	KAR4	3	Verified
YCL054W-A	RDT1	3	Uncharacterized
YCL054W	SPB1	3	Verified
YCL052C	PBN1	3	Verified
YCL051W	LRE1	3	Verified
YCL050C	APA1	3	Verified
YCL049C		3	Uncharacterized
YCL048W-A		3	Uncharacterized
YCL048W	SPS22	3	Verified
YCL047C	POF1	3	Verified
YCL045C	EMC1	3	Verified
YCL046W		3	Dubious
YCL044C	MGR1	3	Verified
YCL043C	PDI1	3	Verified
YCL040W	GLK1	3	Verified
YCL039W	GID7	3	Verified
YCL038C	ATG22	3	Verified
YCL037C	SRO9	3	Verified
YCL036W	GFD2	3	Verified
YCL035C	GRX1	3	Verified
YCL034W	LSB5	3	Verified
YCL033C	MXR2	3	Verified
YCL032W	STE50	3	Verified
YCL031C	RRP7	3	Verified
YCL030C	HIS4	3	Verified
YCL029C	BIK1	3	Verified
YCL028W	RNQ1	3	Verified
YCL027W	FUS1	3	Verified
YCL026C-B	HBN1	3	Verified
YCL026C-A	FRM2	3	Verified
YCL025C	AGP1	3	Verified
YCL023C		3	Dubious
YCL024W	KCC4	3	Verified
YCL022C		3	Dubious
YCL021W-A		3	Uncharacterized
YCL018W	LEU2	3	Verified
YCL017C	NFS1	3	Verified
YCL016C	DCC1	3	Verified
YCL014W	BUD3	3	Verified
YCL012C		3	Verified
YCL011C	GBP2	3	Verified
YCL010C	SGF29	3	Verified
YCL009C	ILV6	3	Verified
YCL008C	STP22	3	Verified
YCL007C		3	Dubious
YCL005W-A	VMA9	3	Verified
YCL005W	LDB16	3	Verified
YCL004W	PGS1	3	Verified
YCL002C		3	Uncharacterized
YCL001W	RER1	3	Verified
YCL001W-A		3	Uncharacterized
YCL001W-B		3	Uncharacterized
YCR001W		3	Uncharacterized
YCR002C	CDC10	3	Verified
YCR003W	MRPL32	3	Verified
YCR004C	YCP4	3	Verified
YCR005C	CIT2	3	Verified
YCR006C		3	Uncharacterized
YCR007C		3	Uncharacterized
YCR008W	SAT4	3	Verified
YCR009C	RVS161	3	Verified
YCR010C	ADY2	3	Verified
YCR011C	ADP1	3	Verified
YCR012W	PGK1	3	Verified
YCR013C		3	Dubious
YCR014C	POL4	3	Verified
YCR015C	CTO1	3	Verified
YCR016W		3	Uncharacterized
YCR017C	CWH43	3	Verified
YCR018C	SRD1	3	Verified
YCR018C-A		3	Dubious
YCR019W	MAK32	3	Verified
YCR020C	PET18	3	Verified
YCR020C-A	MAK31	3	Verified
YCR020W-B	HTL1	3	Verified
YCR021C	HSP30	3	Verified
YCR023C		3	Verified
YCR024C	SLM5	3	Verified
YCR024C-A	PMP1	3	Verified
YCR025C		3	Uncharacterized
YCR026C	NPP1	3	Verified
YCR027C	RHB1	3	Verified
YCR028C	FEN2	3	Verified
YCR028C-A	RIM1	3	Verified
YCR030C	SYP1	3	Verified
YCR031C	RPS14A	3	Verified
YCR032W	BPH1	3	Verified
YCR033W	SNT1	3	Verified
YCR034W	ELO2	3	Verified
YCR035C	RRP43	3	Verified
YCR036W	RBK1	3	Verified
YCR037C	PHO87	3	Verified
YCR038C	BUD5	3	Verified
YCR038W-A		3	Dubious
YCR097W	HMRA1	3	Verified
YCR041W		3	Verified
YCR042C	TAF2	3	Verified
YCR043C		3	Uncharacterized
YCR044C	PER1	3	Verified
YCR045C	RRT12	3	Verified
YCR045W-A		3	Dubious
YCR046C	IMG1	3	Verified
YCR047C	BUD23	3	Verified
